date,store_id,product_id,opening_stock,units_sold,restocked_qty,closing_stock
2023-01-01,S001,P001,406,33,0,373
2023-01-02,S001,P001,373,16,177,534
2023-01-03,S001,P001,534,17,0,517
2023-01-04,S001,P001,517,32,151,636
2023-01-05,S001,P001,636,31,0,605
2023-01-06,S001,P001,605,36,134,703
2023-01-07,S001,P001,703,44,0,659
2023-01-08,S001,P001,659,25,0,634
2023-01-09,S001,P001,634,15,199,818
2023-01-10,S001,P001,818,14,0,804
2023-01-11,S001,P001,804,35,182,951
2023-01-12,S001,P001,951,18,0,933
2023-01-13,S001,P001,933,24,120,1029
2023-01-14,S001,P001,1029,38,0,991
2023-01-15,S001,P001,991,63,0,928
2023-01-16,S001,P001,928,28,92,992
2023-01-17,S001,P001,992,22,0,970
2023-01-18,S001,P001,970,34,163,1099
2023-01-19,S001,P001,1099,22,0,1077
2023-01-20,S001,P001,1077,30,129,1176
2023-01-21,S001,P001,1176,17,0,1159
2023-01-22,S001,P001,1159,44,0,1115
2023-01-23,S001,P001,1115,22,119,1212
2023-01-24,S001,P001,1212,18,0,1194
2023-01-25,S001,P001,1194,33,137,1298
2023-01-26,S001,P001,1298,30,0,1268
2023-01-27,S001,P001,1268,27,112,1353
2023-01-28,S001,P001,1353,39,0,1314
2023-01-29,S001,P001,1314,16,0,1298
2023-01-30,S001,P001,1298,10,111,1399
2023-01-31,S001,P001,1399,49,0,1350
2023-02-01,S001,P001,1350,36,161,1475
2023-02-02,S001,P001,1475,15,0,1460
2023-02-03,S001,P001,1460,18,124,1566
2023-02-04,S001,P001,1566,26,0,1540
2023-02-05,S001,P001,1540,13,0,1527
2023-02-06,S001,P001,1527,17,164,1674
2023-02-07,S001,P001,1674,43,0,1631
2023-02-08,S001,P001,1631,21,90,1700
2023-02-09,S001,P001,1700,16,0,1684
2023-02-10,S001,P001,1684,59,154,1779
2023-02-11,S001,P001,1779,80,0,1699
2023-02-12,S001,P001,1699,50,0,1649
2023-02-13,S001,P001,1649,26,152,1775
2023-02-14,S001,P001,1775,57,0,1718
2023-02-15,S001,P001,1718,16,159,1861
2023-02-16,S001,P001,1861,41,0,1820
2023-02-17,S001,P001,1820,23,181,1978
2023-02-18,S001,P001,1978,53,0,1925
2023-02-19,S001,P001,1925,32,0,1893
2023-02-20,S001,P001,1893,3,107,1997
2023-02-21,S001,P001,1997,24,0,1973
2023-02-22,S001,P001,1973,20,196,2149
2023-02-23,S001,P001,2149,35,0,2114
2023-02-24,S001,P001,2114,54,165,2225
2023-02-25,S001,P001,2225,61,0,2164
2023-02-26,S001,P001,2164,45,0,2119
2023-02-27,S001,P001,2119,52,191,2258
2023-02-28,S001,P001,2258,35,0,2223
2023-03-01,S001,P001,2223,35,199,2387
2023-03-02,S001,P001,2387,35,0,2352
2023-03-03,S001,P001,2352,29,197,2520
2023-03-04,S001,P001,2520,61,0,2459
2023-03-05,S001,P001,2459,30,0,2429
2023-03-06,S001,P001,2429,14,118,2533
2023-03-07,S001,P001,2533,23,0,2510
2023-03-08,S001,P001,2510,45,111,2576
2023-03-09,S001,P001,2576,16,0,2560
2023-03-10,S001,P001,2560,28,165,2697
2023-03-11,S001,P001,2697,34,0,2663
2023-03-12,S001,P001,2663,51,0,2612
2023-03-13,S001,P001,2612,25,139,2726
2023-03-14,S001,P001,2726,27,0,2699
2023-03-15,S001,P001,2699,68,82,2713
2023-03-16,S001,P001,2713,49,0,2664
2023-03-17,S001,P001,2664,44,173,2793
2023-03-18,S001,P001,2793,56,0,2737
2023-03-19,S001,P001,2737,44,0,2693
2023-03-20,S001,P001,2693,28,154,2819
2023-03-21,S001,P001,2819,27,0,2792
2023-03-22,S001,P001,2792,36,166,2922
2023-03-23,S001,P001,2922,18,0,2904
2023-03-24,S001,P001,2904,22,156,3038
2023-03-25,S001,P001,3038,67,0,2971
2023-03-26,S001,P001,2971,23,0,2948
2023-03-27,S001,P001,2948,18,105,3035
2023-03-28,S001,P001,3035,28,0,3007
2023-03-29,S001,P001,3007,57,105,3055
2023-03-30,S001,P001,3055,37,0,3018
2023-03-31,S001,P001,3018,40,98,3076
2023-04-01,S001,P001,3076,64,0,3012
2023-04-02,S001,P001,3012,60,0,2952
2023-04-03,S001,P001,2952,28,176,3100
2023-04-04,S001,P001,3100,46,0,3054
2023-04-05,S001,P001,3054,57,164,3161
2023-04-06,S001,P001,3161,28,0,3133
2023-04-07,S001,P001,3133,25,178,3286
2023-04-08,S001,P001,3286,55,0,3231
2023-04-09,S001,P001,3231,28,0,3203
2023-04-10,S001,P001,3203,33,139,3309
2023-04-11,S001,P001,3309,40,0,3269
2023-04-12,S001,P001,3269,26,167,3410
2023-04-13,S001,P001,3410,51,0,3359
2023-04-14,S001,P001,3359,28,125,3456
2023-04-15,S001,P001,3456,32,0,3424
2023-04-16,S001,P001,3424,68,0,3356
2023-04-17,S001,P001,3356,33,101,3424
2023-04-18,S001,P001,3424,28,0,3396
2023-04-19,S001,P001,3396,10,93,3479
2023-04-20,S001,P001,3479,19,0,3460
2023-04-21,S001,P001,3460,47,114,3527
2023-04-22,S001,P001,3527,70,0,3457
2023-04-23,S001,P001,3457,74,0,3383
2023-04-24,S001,P001,3383,62,84,3405
2023-04-25,S001,P001,3405,35,0,3370
2023-04-26,S001,P001,3370,29,165,3506
2023-04-27,S001,P001,3506,37,0,3469
2023-04-28,S001,P001,3469,62,168,3575
2023-04-29,S001,P001,3575,37,0,3538
2023-04-30,S001,P001,3538,27,0,3511
2023-05-01,S001,P001,3511,62,177,3626
2023-05-02,S001,P001,3626,13,0,3613
2023-05-03,S001,P001,3613,17,113,3709
2023-05-04,S001,P001,3709,31,0,3678
2023-05-05,S001,P001,3678,57,192,3813
2023-05-06,S001,P001,3813,48,0,3765
2023-05-07,S001,P001,3765,34,0,3731
2023-05-08,S001,P001,3731,54,120,3797
2023-05-09,S001,P001,3797,37,0,3760
2023-05-10,S001,P001,3760,32,158,3886
2023-05-11,S001,P001,3886,54,0,3832
2023-05-12,S001,P001,3832,76,89,3845
2023-05-13,S001,P001,3845,48,0,3797
2023-05-14,S001,P001,3797,61,0,3736
2023-05-15,S001,P001,3736,62,183,3857
2023-05-16,S001,P001,3857,20,0,3837
2023-05-17,S001,P001,3837,42,179,3974
2023-05-18,S001,P001,3974,46,0,3928
2023-05-19,S001,P001,3928,51,134,4011
2023-05-20,S001,P001,4011,32,0,3979
2023-05-21,S001,P001,3979,87,0,3892
2023-05-22,S001,P001,3892,27,194,4059
2023-05-23,S001,P001,4059,17,0,4042
2023-05-24,S001,P001,4042,38,126,4130
2023-05-25,S001,P001,4130,49,0,4081
2023-05-26,S001,P001,4081,32,90,4139
2023-05-27,S001,P001,4139,50,0,4089
2023-05-28,S001,P001,4089,68,0,4021
2023-05-29,S001,P001,4021,61,147,4107
2023-05-30,S001,P001,4107,49,0,4058
2023-05-31,S001,P001,4058,40,151,4169
2023-06-01,S001,P001,4169,37,0,4132
2023-06-02,S001,P001,4132,64,154,4222
2023-06-03,S001,P001,4222,79,0,4143
2023-06-04,S001,P001,4143,67,0,4076
2023-06-05,S001,P001,4076,54,172,4194
2023-06-06,S001,P001,4194,60,0,4134
2023-06-07,S001,P001,4134,60,131,4205
2023-06-08,S001,P001,4205,60,0,4145
2023-06-09,S001,P001,4145,54,185,4276
2023-06-10,S001,P001,4276,17,0,4259
2023-06-11,S001,P001,4259,89,0,4170
2023-06-12,S001,P001,4170,29,169,4310
2023-06-13,S001,P001,4310,18,0,4292
2023-06-14,S001,P001,4292,1,110,4401
2023-06-15,S001,P001,4401,35,0,4366
2023-06-16,S001,P001,4366,21,104,4449
2023-06-17,S001,P001,4449,76,0,4373
2023-06-18,S001,P001,4373,54,0,4319
2023-06-19,S001,P001,4319,45,113,4387
2023-06-20,S001,P001,4387,74,0,4313
2023-06-21,S001,P001,4313,29,154,4438
2023-06-22,S001,P001,4438,42,0,4396
2023-06-23,S001,P001,4396,34,106,4468
2023-06-24,S001,P001,4468,58,0,4410
2023-06-25,S001,P001,4410,61,0,4349
2023-06-26,S001,P001,4349,55,156,4450
2023-06-27,S001,P001,4450,16,0,4434
2023-06-28,S001,P001,4434,63,144,4515
2023-06-29,S001,P001,4515,33,0,4482
2023-06-30,S001,P001,4482,54,153,4581
2023-07-01,S001,P001,4581,82,0,4499
