date,store_id,product_id,orders_received
2023-01-01,S001,P001,43.0
2023-01-01,S001,P002,58.0
2023-01-01,S001,P003,22.0
2023-01-01,S001,P004,21.0
2023-01-01,S001,P005,
2023-01-01,S001,P006,26.0
2023-01-01,S001,P007,55.0
2023-01-01,S001,P008,58.0
2023-01-01,S001,P009,48.0
2023-01-01,S001,P010,59.0
2023-01-01,S002,P001,55.0
2023-01-01,S002,P002,50.0
2023-01-01,S002,P003,67.0
2023-01-01,S002,P004,46.0
2023-01-01,S002,P005,23.0
2023-01-01,S002,P006,61.0
2023-01-01,S002,P007,28.0
2023-01-01,S002,P008,57.0
2023-01-01,S002,P009,31.0
2023-01-01,S002,P010,14.0
2023-01-01,S003,P001,20.0
2023-01-01,S003,P002,35.0
2023-01-01,S003,P003,
2023-01-01,S003,P004,71.0
2023-01-01,S003,P005,33.0
2023-01-01,S003,P006,24.0
2023-01-01,S003,P007,59.0
2023-01-01,S003,P008,42.0
2023-01-01,S003,P009,45.0
2023-01-01,S003,P010,51.0
2023-01-01,S004,P001,38.0
2023-01-01,S004,P002,51.0
2023-01-01,S004,P003,49.0
2023-01-01,S004,P004,24.0
2023-01-01,S004,P005,20.0
2023-01-01,S004,P006,55.0
2023-01-01,S004,P007,59.0
2023-01-01,S004,P008,48.0
2023-01-01,S004,P009,67.0
2023-01-01,S004,P010,21.0
2023-01-01,S005,P001,42.0
2023-01-01,S005,P002,14.0
2023-01-01,S005,P003,31.0
2023-01-01,S005,P004,59.0
2023-01-01,S005,P005,32.0
2023-01-01,S005,P006,49.0
2023-01-01,S005,P007,62.0
2023-01-01,S005,P008,56.0
2023-01-01,S005,P009,21.0
2023-01-01,S005,P010,65.0
2023-01-02,S001,P001,16.0
2023-01-02,S001,P002,39.0
2023-01-02,S001,P003,16.0
2023-01-02,S001,P004,14.0
2023-01-02,S001,P005,51.0
2023-01-02,S001,P006,20.0
2023-01-02,S001,P007,30.0
2023-01-02,S001,P008,41.0
2023-01-02,S001,P009,20.0
2023-01-02,S001,P010,33.0
2023-01-02,S002,P001,33.0
2023-01-02,S002,P002,34.0
2023-01-02,S002,P003,62.0
2023-01-02,S002,P004,47.0
2023-01-02,S002,P005,6.0
2023-01-02,S002,P006,35.0
2023-01-02,S002,P007,34.0
2023-01-02,S002,P008,23.0
2023-01-02,S002,P009,63.0
2023-01-02,S002,P010,37.0
2023-01-02,S003,P001,43.0
2023-01-02,S003,P002,49.0
2023-01-02,S003,P003,24.0
2023-01-02,S003,P004,46.0
2023-01-02,S003,P005,45.0
2023-01-02,S003,P006,56.0
2023-01-02,S003,P007,31.0
2023-01-02,S003,P008,29.0
2023-01-02,S003,P009,4.0
2023-01-02,S003,P010,27.0
2023-01-02,S004,P001,26.0
2023-01-02,S004,P002,53.0
2023-01-02,S004,P003,66.0
2023-01-02,S004,P004,16.0
2023-01-02,S004,P005,56.0
2023-01-02,S004,P006,41.0
2023-01-02,S004,P007,22.0
2023-01-02,S004,P008,24.0
2023-01-02,S004,P009,28.0
2023-01-02,S004,P010,59.0
2023-01-02,S005,P001,33.0
2023-01-02,S005,P002,24.0
2023-01-02,S005,P003,25.0
2023-01-02,S005,P004,43.0
2023-01-02,S005,P005,50.0
2023-01-02,S005,P006,11.0
2023-01-02,S005,P007,17.0
2023-01-02,S005,P008,31.0
2023-01-02,S005,P009,38.0
2023-01-02,S005,P010,65.0
2023-01-03,S001,P001,22.0
2023-01-03,S001,P002,61.0
2023-01-03,S001,P003,52.0
2023-01-03,S001,P004,23.0
2023-01-03,S001,P005,20.0
2023-01-03,S001,P006,20.0
2023-01-03,S001,P007,48.0
2023-01-03,S001,P008,13.0
2023-01-03,S001,P009,32.0
2023-01-03,S001,P010,36.0
2023-01-03,S002,P001,43.0
2023-01-03,S002,P002,42.0
2023-01-03,S002,P003,55.0
2023-01-03,S002,P004,34.0
2023-01-03,S002,P005,30.0
2023-01-03,S002,P006,37.0
2023-01-03,S002,P007,31.0
2023-01-03,S002,P008,44.0
2023-01-03,S002,P009,14.0
2023-01-03,S002,P010,25.0
2023-01-03,S003,P001,49.0
2023-01-03,S003,P002,27.0
2023-01-03,S003,P003,44.0
2023-01-03,S003,P004,48.0
2023-01-03,S003,P005,61.0
2023-01-03,S003,P006,26.0
2023-01-03,S003,P007,49.0
2023-01-03,S003,P008,36.0
