date,store_id,product_id,channel,sales_qty,unit_price,discount_pct,sales_amount,returns_qty,cost_per_unit,gross_margin
2023-01-01,S001,P001,Online,33,830.14,0.102,24600.51,0,600.0,4800.37
2023-01-01,S001,P002,In-Store,54,25.23,0.018,1338.12,1,8.0,905.9
2023-01-01,S001,P003,In-Store,20,12.17,0.02,238.6,0,7.0,98.53
2023-01-01,S001,P004,Online,19,123.44,0.048,2232.69,0,70.0,902.78
2023-01-01,S001,P006,Online,25,692.04,0.098,15605.5,0,450.0,4355.5
2023-01-01,S001,P007,In-Store,47,60.03,0.106,2522.49,1,22.0,1488.34
2023-01-01,S001,P008,In-Store,46,7.8,0.123,314.64,1,4.0,130.67
2023-01-01,S001,P009,In-Store,45,73.43,0.069,3076.2,1,38.0,1366.35
2023-01-01,S001,P010,Online,54,39.86,0.107,1921.86,2,18.0,950.13
2023-01-01,S002,P001,Online,53,850.74,0.125,39453.2,2,600.0,7653.07
2023-01-01,S002,P002,Online,49,25.48,0.004,1243.62,1,8.0,851.53
2023-01-01,S002,P003,Online,63,12.15,0.006,761.04,1,7.0,319.86
2023-01-01,S002,P004,In-Store,45,122.19,0.113,4877.1,1,70.0,1727.21
2023-01-01,S002,P005,In-Store,17,96.56,0.108,1464.21,0,45.0,699.24
2023-01-01,S002,P006,Online,60,717.21,0.136,37180.2,2,450.0,10180.17
2023-01-01,S002,P007,Online,29,59.38,0.038,1656.48,0,22.0,1018.58
2023-01-01,S002,P008,Mobile App,49,8.01,0.065,367.01,0,4.0,170.98
2023-01-01,S002,P009,Online,29,75.64,0.091,1994.04,0,38.0,891.95
2023-01-01,S002,P010,In-Store,12,40.69,0.065,456.6,0,18.0,240.54
2023-01-01,S003,P001,In-Store,13,846.09,0.019,10790.13,0,600.0,2990.19
2023-01-01,S003,P002,In-Store,32,24.59,0.063,737.28,1,8.0,481.31
2023-01-01,S003,P004,Mobile App,64,118.68,0.017,7466.24,2,70.0,2986.4
2023-01-01,S003,P005,In-Store,33,94.52,0.092,2832.06,0,45.0,1347.2
2023-01-01,S003,P006,In-Store,26,714.27,0.052,17605.38,0,450.0,5905.33
2023-01-01,S003,P007,In-Store,54,59.86,0.05,3070.98,2,22.0,1882.82
2023-01-01,S003,P008,Online,41,8.09,0.104,297.25,1,4.0,133.19
2023-01-01,S003,P009,Online,35,72.89,0.137,2201.5,0,38.0,871.64
2023-01-01,S003,P010,In-Store,42,40.82,0.083,1572.06,1,18.0,816.14
2023-01-01,S004,P001,Online,37,832.83,0.047,29366.53,0,600.0,7166.42
2023-01-01,S004,P002,In-Store,47,24.57,0.022,1129.41,0,8.0,753.38
2023-01-01,S004,P003,Online,50,11.95,0.142,512.5,0,7.0,162.66
2023-01-01,S004,P004,In-Store,19,118.43,0.062,2110.71,0,70.0,780.66
2023-01-01,S004,P005,In-Store,14,94.71,0.063,1242.36,0,45.0,612.41
2023-01-01,S004,P006,In-Store,49,707.66,0.141,29786.12,0,450.0,7736.12
2023-01-01,S004,P007,Mobile App,55,59.65,0.12,2886.95,1,22.0,1677.06
2023-01-01,S004,P008,Mobile App,42,7.79,0.041,313.74,0,4.0,145.77
2023-01-01,S004,P009,Online,52,73.86,0.023,3752.32,0,38.0,1776.38
2023-01-01,S004,P010,Online,22,40.14,0.08,812.46,0,18.0,416.43
2023-01-01,S005,P001,In-Store,34,833.09,0.068,26398.96,1,600.0,5998.96
2023-01-01,S005,P002,Online,14,24.43,0.09,311.22,0,8.0,199.24
2023-01-01,S005,P003,Mobile App,27,12.05,0.122,285.66,0,7.0,96.66
2023-01-01,S005,P004,In-Store,56,118.39,0.095,5999.84,0,70.0,2080.01
2023-01-01,S005,P005,Online,27,95.88,0.11,2303.91,1,45.0,1089.0
2023-01-01,S005,P006,In-Store,44,706.8,0.082,28548.96,1,450.0,8749.07
2023-01-01,S005,P007,In-Store,52,59.78,0.028,3021.72,0,22.0,1877.52
